Mr_ksi,H_AC_in,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
11.0,6.461538461538462,237.0390627634839,490.4661004123197,921425.703790259,893873.7385106612,18614.103132792145,rutting
11.0,6.6923076923076925,228.08121218004234,469.81645072310243,1045972.0955470062,1083702.3425086155,21672.741274352928,fatigue
11.0,6.923076923076923,219.53793618161157,450.4451846559809,1185999.935652947,1308511.8124532062,25199.465360453672,fatigue
11.0,7.153846153846154,211.39055719096572,432.25211979303566,1343185.6049715634,1573756.411670523,29258.56099847468,fatigue
11.0,7.384615384615385,203.6207084949455,415.14602866945256,1519356.4209471035,1885590.0456994316,33921.99039712069,fatigue
11.0,7.615384615384616,196.21048261351729,399.04377594935664,1716500.3807470887,2250938.8029988324,39270.13670465398,fatigue
11.0,7.846153846153847,189.14252497863578,383.8695360883284,1936776.4011284506,2677580.0279916776,45392.605320424875,fatigue
11.0,8.076923076923077,182.40009085335504,369.5540877568874,2182525.0822422537,3174228.5851336396,52389.08584205339,fatigue
11.0,8.307692307692308,175.9670774755173,356.0341797654016,2456280.027683594,3750631.03185846,60370.278664408004,fatigue
11.0,8.538461538461538,169.8280394344045,343.2519624815271,2760779.757280478,4417668.473911347,69458.89061006445,fatigue
11.0,8.76923076923077,163.96819263409517,331.1544785084938,3098980.252396395,5187468.927982716,79790.70433937164,fatigue
11.0,9.0,158.3734104280569,319.6932065122824,3474068.17589764,6073530.063327687,91515.72665631496,fatigue
11.0,9.23076923076923,153.03021433298218,308.8236524175037,3889474.810429773,7090853.236149675,104799.42118893415,fatigue
11.0,9.461538461538462,147.9257609495937,298.5049826429874,4348890.759295932,8256089.768193321,119824.03127531568,fatigue
11.0,9.692307692307693,143.0478262021355,288.6996945548916,4856281.454096406,9587700.454656735,136789.99922415012,fatigue
11.0,9.923076923076923,138.384787668037,279.3733198339194,5415903.512449164,11106129.316767504,155917.4884391608,fatigue
11.0,10.153846153846153,133.92560554533318,270.4941569558339,6032321.9876608495,12833992.641766798,177448.01519712745,fatigue
11.0,10.384615384615385,129.6598026581057,262.03302945369387,6710428.550253658,14796284.378178865,201646.19714811997,fatigue
11.0,10.615384615384617,125.57744380284865,253.96306705667754,7455460.638884142,17020598.977613248,228801.62586341138,fatigue
11.0,10.846153846153847,121.66911467360109,246.25950718034326,8273021.615516417,19537372.796294864,259230.8709913529,fatigue
11.0,11.076923076923077,117.9259005592359,238.8995145763909,9169101.956832716,22380145.19030319,293279.62379495165,fatigue
11.0,11.307692307692308,114.33936497480094,231.86201723885026,10150101.510868851,25585840.458165176,331324.9880381356,fatigue
11.0,11.538461538461538,110.9015283653373,225.12755691164952,11222852.84482839,29195071.802938513,373777.9263621265,fatigue
11.0,11.76923076923077,107.60484700203558,218.67815275406437,12394645.70701881,33252468.503037952,421085.8704503702,fatigue
11.0,12.0,104.44219217497935,212.49717690017576,13673252.62292134,37807027.49647152,473735.5034218175,fatigue
11.538461538461538,3.0,420.166579825698,1033.9330917987813,140059.47991071612,31713.926679053213,1941.1752230539323,rutting
11.538461538461538,3.230769230769231,407.3985472014367,974.8593301953222,155031.014378895,41270.48091306996,2192.764717414373,rutting
11.538461538461538,3.4615384615384617,393.6613551847297,919.9890252093019,173557.58742572134,53490.63366654561,2510.857430158952,rutting
11.538461538461538,3.6923076923076925,379.50678417753807,869.0844161813731,195785.78878937964,69016.39095130218,2901.5304081558197,rutting
11.538461538461538,3.9230769230769234,365.29877513036365,821.8844157200575,221981.81866512453,88618.61196354483,3373.421545871034,rutting
11.538461538461538,4.153846153846154,351.27339493679074,778.121549505558,252507.41726376404,113217.41878543507,3937.4830381771426,rutting
11.538461538461538,4.384615384615385,337.58015740782525,737.5327136540703,287808.9325773185,143904.97985750315,4606.964341145288,rutting
11.538461538461538,4.615384615384615,324.3103101238481,699.8657028076999,328413.3762877537,181970.83547635525,5397.525879979867,rutting
11.538461538461538,4.846153846153847,311.516097225468,664.8828892644356,374928.4365207667,228929.93529878464,6327.436350825407,rutting
11.538461538461538,5.076923076923077,299.2238203728144,632.3630134523129,428044.8831163612,286553.56001011655,7417.83040881009,rutting
11.538461538461538,5.307692307692308,287.4426624509948,602.1017465082274,488540.5267650586,356903.3032080768,8693.015296263924,rutting
11.538461538461538,5.538461538461538,276.17063009802365,573.9114756586189,557285.2670751491,442368.2967389485,10180.821014656156,rutting
11.538461538461538,5.769230769230769,265.398544801035,547.6206173508489,635246.9636470604,545705.8748772403,11912.991877153308,rutting
11.538461538461538,6.0,255.11271650385504,523.0726626540694,723497.9735742154,670085.8914147578,13925.619070587243,rutting
11.538461538461538,6.230769230769231,245.29673002849592,500.1250905555683,823222.261010334,819138.9301334013,16259.614892842665,rutting
11.538461538461538,6.461538461538462,235.9326353101612,478.64823766452486,935723.0215073787,997008.6839874687,18961.229972038072,fatigue
11.538461538461538,6.6923076923076925,227.00173764840997,458.5241806978385,1062430.7873230716,1208408.8217202905,22082.615209961572,fatigue
11.538461538461538,6.923076923076923,218.4851199403816,439.64566626939666,1204911.9960033065,1458684.7120641063,25682.430529981466,fatigue
11.538461538461538,7.153846153846154,210.36398548293613,421.9151077171452,1364878.0165615494,1753880.4340251428,29826.502807886012,fatigue
11.538461538461538,7.384615384615385,202.61988071729914,405.2436587812841,1544194.637240685,2100811.565483459,34588.53565505371,fatigue
11.538461538461538,7.615384615384616,195.2348376592912,389.550367386012,1744892.0270377034,2507144.30958835,40050.8740238603,fatigue
11.538461538461538,7.846153846153847,188.19146258996363,374.76140854220523,1969175.19031866,2981481.5872349693,46305.32692289639,fatigue
11.538461538461538,8.076923076923077,181.47298876058954,360.8093927642009,2219434.9401242514,3533456.792352635,53454.05186637322,fatigue
