E_AC_ksi,E_BASE_ksi,eps_t_microstrain,eps_c_microstrain,Nf_AI,Nd_AI,Nf_MEPDG,governing_AI
158.5471577381239,11.25335582600765,697.0926641375476,902.2043986194578,70584.3899710924,58375.74476679113,1144.8158784920795,rutting
171.20569396005033,11.25335582600765,666.3259224347042,877.5036339482239,76689.43908177498,66100.87678627575,1239.9984802698204,rutting
184.87489818490914,11.25335582600765,636.4042604219369,852.9768513270434,83543.70651637277,75045.83684985476,1347.3741169254438,rutting
199.63546298206583,11.25335582600765,607.3523826272564,828.6499734406982,91244.48105042978,85425.03072454344,1468.5639850062307,rutting
215.57452348237172,11.25335582600765,579.1893983301089,804.5480904200223,99902.93592000935,97493.64548313773,1605.4326169550445,rutting
232.78617175760255,11.25335582600765,551.9291768044362,780.6953555812061,109646.18436880317,111555.90077622533,1760.125528487237,fatigue
251.37201226837567,11.25335582600765,525.5807164245329,757.1148937863381,120619.65359948814,127975.05336021695,1935.1130433850112,fatigue
271.4417616594907,11.25335582600765,500.1485212020695,733.8287226553089,132989.82748543494,147185.5417963822,2133.241328172757,fatigue
293.11389644342387,11.25335582600765,475.632979119228,710.8576865836945,146947.41646063357,169707.74597984104,2357.791845643828,fatigue
316.51635239540985,11.25335582600765,452.0307373960277,688.2214032551032,162711.0223324469,196165.94415282065,2612.5506424403106,fatigue
341.78727978880517,11.25335582600765,429.3350705638492,665.9382220842789,180531.37654271704,227310.18303773453,2901.8891266999844,fatigue
369.07585892906616,11.25335582600765,407.53623790094485,644.0251937946946,200696.24285497304,264042.9405591913,3230.858272813459,fatigue
398.54318080063774,11.25335582600765,386.62182741306066,622.4980501289353,223536.08981941114,307451.6625938294,3605.2985181356,fatigue
430.36319802541544,11.25335582600765,366.57708411056336,601.3711925206319,249430.65495415512,358848.5043609668,4031.9679987419813,fatigue
464.7237517465168,11.25335582600765,347.3852208434988,580.6576884328393,278816.5417222235,419818.9147691635,4518.692217040549,fatigue
501.8276804993071,11.25335582600765,329.027710410867,560.3692739995025,312196.0124830919,492281.08245391026,5074.538753955887,fatigue
541.8940176155999,11.25335582600765,311.4845580650923,540.5163616029394,350147.1661393766,578558.733230051,5710.021245304266,fatigue
585.1592842296022,11.25335582600765,294.73455389291377,521.1080510877935,393335.71876773314,681470.3527852522,6437.337551320223,fatigue
631.8788855185242,11.25335582600765,278.7555048756993,502.1521434537302,442528.6398310744,804438.634253247,7270.64787885212,fatigue
682.32861842019,11.25335582600765,263.5244467207805,483.65515608317617,498609.9364912725,951624.8542460663,8226.399590498997,fatigue
736.8062997280774,11.25335582600765,249.01783581499478,465.6223388390733,562598.9251556578,1128094.0095523887,9323.70658220489,fatigue
795.6335241748048,11.25335582600765,235.211721884765,448.0576906966309,635671.3840293611,1340017.9597653144,10584.792465539726,fatigue
859.157562882462,11.25335582600765,222.08190215454331,430.9639769327995,719184.0447562058,1594925.5954720438,12035.508396429143,fatigue
927.7534133867852,11.25335582600765,209.60405797646732,414.34274726264744,814702.9572466615,1902011.2865324384,13705.938302221675,fatigue
1001.8260133369538,11.25335582600765,197.7538750564163,398.19435565550435,924036.3520139378,2272515.6886667744,15631.106540349982,fatigue
1081.8126309390202,11.25335582600765,186.50714852223658,382.5179828571772,1049272.7318335318,2720196.5651659397,17851.805756912894,fatigue
1168.18544625431,11.25335582600765,175.83987416559611,367.31166286125654,1192825.0530399512,3261911.829330859,20415.56600393063,fatigue
1261.454338590822,11.25335582600765,165.7283272369515,352.5723146909185,1357482.010797675,3918342.8114759666,23377.790144680926,fatigue
1362.1698964422794,11.25335582600765,156.1491301819648,338.29578085739075,1546467.627668421,4714893.164288133,26803.085380038192,fatigue
1470.926667743175,11.25335582600765,147.07931067749305,324.4768737462466,1763510.5672396494,5682808.312106082,30766.826550763544,fatigue
1588.3666696268983,11.25335582600765,138.49635125797775,311.1094309503057,2012924.8621928017,6860572.533319614,35356.99393593835,fatigue
1715.1831784058381,11.25335582600765,130.37823172279758,298.1863802304056,2299704.0680718715,8295656.43223628,40676.336846776445,fatigue
1852.1248221466276,11.25335582600765,122.70346538767068,285.6998143625094,2629631.240845056,10046707.734934714,46844.92473242198,fatigue
2000.0000000000002,11.25335582600765,115.45113009585543,273.6410756483023,3009407.600613548,12186304.366639752,54003.160157696955,fatigue
100.0,11.937766417144363,874.527343497362,1051.3161984260503,49606.29956408104,29432.85674847681,843.742724918082,rutting
107.98408271867898,11.937766417144363,841.2342209206968,1026.6114959893528,52786.42209235708,32739.15287841125,891.3448271157865,rutting
116.60562120594504,11.937766417144363,808.4071043537219,1001.8951012294591,56353.88950240514,36513.32847871906,945.3246575836208,rutting
125.9155104576573,11.937766417144363,776.1124349846802,977.194222976469,60353.63175540867,40830.82951997738,1006.3976984997053,rutting
135.96870896824353,11.937766417144363,744.4100339190579,952.536230711398,64836.88974641183,45780.46084819704,1075.3884959047716,rutting
146.824563163788,11.937766417144363,713.353132068446,927.9484964338453,69862.09666034939,51466.931330064006,1153.24598224304,rutting
158.5471577381239,11.937766417144363,682.9884714462855,903.4582397081483,75495.89386363993,58013.9135405616,1241.061329114096,rutting
171.20569396005033,11.937766417144363,653.3564682121565,879.0923780010874,81814.30201037294,65567.72715212908,1340.088730122222,rutting
184.87489818490914,11.937766417144363,624.4914279258506,854.8773841652735,88904.07136612516,74301.77925846179,1451.7695832036395,rutting
199.63546298206583,11.937766417144363,596.4218037995196,830.8391526497757,96864.23921174805,84421.92440523885,1577.7606230059087,rutting
215.57452348237172,11.937766417144363,569.1704892254735,807.0028757384259,105807.926669142,96172.94336810031,1719.966648815239,rutting
232.78617175760255,11.937766417144363,542.7551364658167,783.3929308307348,115864.41248877035,109846.38427336383,1880.5786045321163,rutting
251.37201226837567,11.937766417144363,517.188494079344,760.0327794936828,127181.52736621471,125790.06442149983,2062.1178970112196,rutting
271.4417616594907,11.937766417144363,492.47875639643513,736.9448787275722,139928.419340401,144419.59851936199,2267.487990870582,fatigue
293.11389644342387,11.937766417144363,468.6299191051765,714.1506046083181,154298.74891513048,166232.40188372004,2500.0344952909195,fatigue
316.51635239540985,11.937766417144363,445.6421357575616,691.6701881955032,170514.3819051528,191824.71916562927,2763.615165600601,fatigue
341.78727978880517,11.937766417144363,423.51207072490837,669.5226633342372,188829.65882899013,221912.35474210995,3062.6814844706428,fatigue
369.07585892906616,11.937766417144363,402.2332448129869,647.7258257351125,209536.3321720702,257355.93568000104,3402.373770007725,fatigue
398.54318080063774,11.937766417144363,381.79637038076936,626.2962024970893,232969.27727811525,299191.72899183666,3788.6320875446295,fatigue
